"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 26 16:56:34 GMT 2024","Tue Mar 26 16:56:36 GMT 2024","1620","","User Login","","login_spec","","Login invalid username credential","Location - features/specs/login_spec.rb:17"
"broken","Tue Mar 26 16:56:38 GMT 2024","Tue Mar 26 16:56:39 GMT 2024","1686","","User Login","","login_spec","","Login invalid username and password credential","Location - features/specs/login_spec.rb:29"
"broken","Tue Mar 26 16:56:46 GMT 2024","Tue Mar 26 16:56:47 GMT 2024","1626","","Slider","","slider_spec","","Checking second swipe","Location - features/specs/slider_spec.rb:16"
"broken","Tue Mar 26 16:56:47 GMT 2024","Tue Mar 26 16:56:49 GMT 2024","1623","","Vertical swiping","","vertical_swiping_spec","","Checking first vertical swiping","Location - features/specs/vertical_swiping_spec.rb:10"
"broken","Tue Mar 26 16:56:30 GMT 2024","Tue Mar 26 16:56:31 GMT 2024","732","","Carousel","","carousel_spec","","Checking carousel","Location - features/specs/carousel_spec.rb:10"
"broken","Tue Mar 26 16:56:33 GMT 2024","Tue Mar 26 16:56:34 GMT 2024","1615","","User Login","","login_spec","","Login happy path","Location - features/specs/login_spec.rb:11"
"broken","Tue Mar 26 16:56:36 GMT 2024","Tue Mar 26 16:56:38 GMT 2024","1609","","User Login","","login_spec","","Login invalid password credential","Location - features/specs/login_spec.rb:23"
"broken","Tue Mar 26 16:56:44 GMT 2024","Tue Mar 26 16:56:46 GMT 2024","1783","","Slider","","slider_spec","","Checking first swipe","Location - features/specs/slider_spec.rb:10"
"broken","Tue Mar 26 16:56:42 GMT 2024","Tue Mar 26 16:56:44 GMT 2024","1603","","Native view demo","","native_view_spec","","Checking native text","Location - features/specs/native_view_spec.rb:12"
"broken","Tue Mar 26 16:56:39 GMT 2024","Tue Mar 26 16:56:41 GMT 2024","1670","","User Login","","login_spec","","Login empty credentials","Location - features/specs/login_spec.rb:35"
"broken","Tue Mar 26 16:56:41 GMT 2024","Tue Mar 26 16:56:42 GMT 2024","1604","","Long press button","","long_press_spec","","Checking long press","Location - features/specs/long_press_spec.rb:10"
"broken","Tue Mar 26 16:56:31 GMT 2024","Tue Mar 26 16:56:33 GMT 2024","1637","","Drag and drop","","drag_and_drop_spec","","Checking drag and drop","Location - features/specs/drag_and_drop_spec.rb:10"
